title,subtitle,author,isbn,started,finished
How Google Works,,"Eric Schmidt, Jonathan Rosenberg",9781444792485,,2016-04-07
Nikola Tesla,Imagination and the Man That Invented the 20th Century,Sean Patrick,9781938895173,,2016-10-30
California,A History,Kevin Starr,9780307430755,,2017-09-07
The Swimming-Pool Library,,Alan Hollinghurst,9781409002260,,2017-12-27
The House at the Edge of the World,,Julia Rochester,9780241971703,,2018-04-07
The Pragmatic Programmer,From Journeyman to Master,"Andrew Hunt, David Thomas",9780201616224,2018-04-07,2018-06-18
The Dressmaker,,Rosalie Ham,9781782830719,2018-05-22,2018-07-23
"If You Meet the Buddha on the Road, Kill Him",The Pilgrimage of Psychotherapy Patients,Sheldon B. Kopp,9780804150965,2018-07-24,2018-08-13
JWT Handbook,,Sebastián Peyrott,,2018-08-14,2018-08-27
How To Be a Woman,,Caitlin Moran,9781446406168,2018-08-21,2018-10-31
Infinite City,A San Francisco Atlas,Rebecca Solnit,9780520262492,2018-09-06,2018-11-10
Howl and Other Poems,,Allen Ginsberg,9780872863101,2018-11-18,2018-11-18
When God Was a Rabbit,,Sarah Winman,9780755379316,2018-11-01,2018-11-29
Storm,,Tim Minchin,9781409156253,2018-12-01,2018-12-01
The Google Book,,V.C. Vickers,9780192797353,2018-12-08,2018-12-08
The Rust Programming Language,,"Steve Klabnik, Carol Nichols",,2018-12-11,2019-01-25
The Trouble with Goats and Sheep,,Joanna Cannon,9780008132187,2018-10-30,2019-03-07
Why Rust?,,Jim Blandy,9781491927298,2019-03-22,2019-03-31
Looking Backward,2000-1887,Edward Bellamy,,2019-03-17,2019-04-22
The Age of Surveillance Capitalism,The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,9781782832744,2019-04-23,2019-07-11
Prodigals,Stories,Greg Jackson,9781783782017,2019-07-11,2019-07-26
It Doesn't Have to Be Crazy at Work,,"Jason Fried, David Heinemeier Hansson",9780008323455,2019-07-29,2019-08-08
Life in the United Kingdom,A Guide for New Residents,Home Office,9780113413409,2019-07-31,2019-08-26
Everything curl,,Daniel Stenberg,9789163965012,2019-08-27,2019-09-24
Land the Tech Job You Love,,Andy Lester,9781934356265,2019-09-25,2019-10-15
The Handmaids Tale,,Margaret Atwood,9781784873189,2019-10-16,2019-11-12
The Phoenix Project,"A Novel About IT, DevOps, and Helping Your Business Win","Gene Kim, Kevin Behr, George Spafford",9781942788300,2019-11-25,2019-12-27
This is a Good Guide,for a sustainable lifestyle,Marieke Eyskoot,9789063694920,2019-11-15,2020-05-04
The Ickabog,,J.K. Rowling,,2020-05-26,2020-07-10
Harry Potter,The Complete Collection,J.K. Rowling,9781781106464,2020-06-29,2021-12-11
The Christmas Pig,,J.K. Rowling,9781444964912,2021-12-13,2021-12-27
Harry Potter and the Cursed Child,Parts One and Two,"J.K. Rowling, John Tiffany, Jack Thorne",9780751565355,2021-12-28,2022-01-09
Fantastic Beasts and Where to Find Them,,J.K. Rowling,9781408896945,2022-01-11,2022-01-17
Quidditch Through the Ages,,J.K. Rowling,9781408883082,2022-01-17,2022-01-30
The Tales of Beedle the Bard,,J.K. Rowling,9780747599876,2022-02-05,2022-02-21
Hogwarts,An Incomplete and Unreliable Guide,J.K. Rowling,9781781106273,2022-02-26,2022-02-26
"Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies",,J.K. Rowling,9781781106280,2022-03-28,2022-03-30
"Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists",,J.K. Rowling,9781781106297,2022-03-30,2022-03-31
A Journey Through Charms and Defence Against the Dark Arts,,Pottermore Publishing,9781781106136,2022-04-02,2022-04-02
A Journey Through Potions and Herbology,,Pottermore Publishing,9781781106143,2022-04-03,2022-04-10
A Journey Through Divination and Astronomy,,Pottermore Publishing,9781781106150,2022-04-10,2022-04-13
A Journey Through Care of Magical Creatures,,Pottermore Publishing,9781781106167,2022-04-13,2022-04-13
"Objects, Abstraction, Data Structures and Design Using Java Version 5.0",,"Elliot B. Koffman, Paul A. T. Wolfgang",9780471692645,2020-10-05,2022-05-10
Three Japanese Buddhist Monks,,"Saigyō, Kamo no Chōmei, Yoshida Kenkō",9780241472910,2022-05-16,2022-05-24
The Book of Tea,,Kakuzo Okakura,9780241251355,2022-05-25,2022-05-31
Art Deco,,Alastair Duncan,9780500202302,2022-06-03,2022-06-18
18 Folgate Street,,Dennis Severs,9780099437369,2022-06-21,2022-07-06
Chernobyl Prayer,,Svetlana Alexievich,9780241270530,2022-07-07,2022-07-24
The Voyage Out,,Virginia Woolf,9780140031379,2022-07-26,2022-10-09
Train,,John Coiley,9780863189111,2022-11-30,2022-12-18
Night and Day,,Virginia Woolf,9780140030334,2022-10-11,2022-12-29
Trains,,"Jacquetta Megarry, Keir Bloomer",9780862721657,2022-12-31,2023-01-06
Railway Revolution,1825–1845,Marjorie Greenwood,,2023-03-26,2023-04-01
Jacob's Room,,Virginia Woolf,9781847498366,2023-04-15,2023-04-30
Mrs Dalloway,,Virginia Woolf,9781853261916,2023-05-08,2023-05-26
To the Lighthouse,,Virginia Woolf,9781784875329,2023-05-27,2023-06-14
Orlando,A biography,Virginia Woolf,9780241436301,2023-06-16,2023-06-27
The Waves,,Virginia Woolf,9781847497819,2023-06-29,2023-07-15
The Years,,Virginia Woolf,9781847498663,2023-07-17,2023-09-03
Between the Acts,,Virginia Woolf,9780099982609,2023-09-04,2023-09-17
The Complete Shorter Fiction,,Virginia Woolf,9780586070444,2023-09-18,2023-12-18
The Train Book,The Definitive Visual History,DK,9781409347965,2023-10-31,2024-01-16
A Room of One's Own,,Virginia Woolf,9781784874476,2023-12-21,2023-12-28
On Being Ill,"An Essay on Illness, on Loneliness, Vulnerability and Privilege in Illness",Virginia Woolf,9781804470312,2023-12-28,2023-12-30
Three Guineas,,Virginia Woolf,9780140044942,2024-01-02,2024-02-13
Flush,,Virginia Woolf,9781847498106,2024-02-19,2024-02-26
The Common Reader,Volume I,Virginia Woolf,9780099443667,2024-02-27,2024-04-06
The Common Reader,Volume II,Virginia Woolf,9780099443674,2024-04-06,2024-05-05
Street Haunting and Other Essays,,Virginia Woolf,9780099589778,2024-05-07,2024-05-29
